GEOID,County.x,Cox,Moore,Lashar,Wallace,Harding,Sefcik,Write-ins.x,County.y,Hogan,Jealous,Quinn,Schlakman,Write-ins.y,CoxPercentage,HoganPercentage
24001,Allegany,13833,6390,279,143,267,0,17,Allegany,19224,3985,166,139,16,0.788440986619929,0.8341896245278826
24003,Anne Arundel,73775,88375,3554,988,1268,0,588,Anne Arundel,157202,69399,1366,1052,187,4.204961598198891,6.821487586091981
24510,Baltimore City,11387,112984,1282,1231,1443,0,246,Baltimore City,58360,123609,1055,1491,176,0.6490260619273572,2.532423350366585
24005,Baltimore County,80759,136462,3993,1648,2409,0,702,Baltimore County,198122,122773,1633,1492,256,4.6030293962581394,8.597134664518997
24009,Calvert,18447,14236,504,142,242,0,89,Calvert,29610,9216,303,130,25,1.0514256401487625,1.2848707231726284
24011,Caroline,6727,3276,176,56,140,0,21,Caroline,9489,1900,82,28,6,0.383419541458271,0.4117574566762942
24013,Carroll,38969,25155,1515,436,561,0,301,Carroll,62445,11767,533,261,45,2.221120278145884,2.7096843062652742
24015,Cecil,18159,8691,472,155,311,21,35,Cecil,27063,7354,353,154,15,1.0350104732184842,1.1743484086869584
24017,Charles,15096,33633,408,283,414,0,78,Charles,31756,32100,274,193,37,0.8604283332620869,1.3779923905798712
24019,Dorchester,6169,4341,139,69,157,0,19,Dorchester,9205,3043,72,39,8,0.3516151555308568,0.39943380637636083
24021,Frederick,44307,51423,1700,555,722,0,306,Frederick,72560,33355,746,499,59,2.5253708374300006,3.148605865363253
24023,Garrett,8195,2402,194,52,138,0,15,Garrett,9472,1395,86,48,7,0.46709129511677283,0.41101977338369244
24025,Harford,51930,40837,2033,618,914,0,301,Harford,85259,24012,756,461,91,2.959859787115804,3.699655284936681
24027,Howard,33110,83690,2464,802,713,0,419,Howard,80574,61146,800,752,111,1.887174225908035,3.4963584481226393
24029,Kent,3718,4256,106,56,93,0,10,Kent,6370,2222,43,57,2,0.21191524530130096,0.27641426905132194
24031,Montgomery,58701,227161,3443,2444,1677,0,768,Montgomery,180018,224029,1922,2110,349,3.345787201299534,7.8115453510331045
24033,Prince George's,17937,179968,1081,1693,1984,0,314,Prince George's,89925,225889,1469,1423,279,1.0223571153763946,3.902127652188402
24035,Queen Anne's,12840,8577,416,120,212,0,89,Queen Anne's,19503,3268,99,86,15,0.731842858974907,0.8462963091535214
24037,Saint Mary's,20670,14365,720,263,361,0,86,SaintÂ Mary's,30703,9084,410,170,27,1.178130209891848,1.3322994195734281
24039,Somerset,3974,2254,67,46,81,0,6,Somerset,5203,2379,71,33,16,0.22650650479488166,0.225774480670962
24041,Talbot,7497,7989,289,70,128,0,44,Talbot,14081,3957,79,66,7,0.42730731415380674,0.6110187319484559
24043,Washington,27571,17006,646,257,483,0,75,Washington,38765,10894,491,268,43,1.571467248037162,1.682134872806043
24045,Wicomico,14612,12213,388,171,358,0,46,Wicomico,22659,10426,284,141,24,0.8328417332820359,0.9832450427682737
24047,Worcester,13433,8550,273,121,161,0,31,Worcester,18076,5437,148,82,12,0.7656421436612092,0.7843743057098421
